;cat_id;count;cat_code
0;1;5;Rheinufer (inkl. Birsköpfli, Hafenareal, usw.), Birs, Wiese
1;2;1;Kurze Wege
2;3;6;Öffentlicher Verkehr
3;4;2;Viele Ladengeschäfte, Restaurants
4;5;7;Parks, Plätze, Grünflächen
5;6;2;Menschen
6;7;6;Freizeitangebote (Sport, Kulturelle Anlässe etc.)
7;8;1;Alles
8;12;4;Stadt (Innenstadt, Grösse der Stadt, Basel ist schön) 
9;14;1;Sicherheit
10;15;1;Infrastruktur
11;17;2;Lebens- und Wohnstandard
12;18;1;Ruhe
13;19;1;Weltoffenheit, Gerechtigkeitssinn, Demokratie
14;999;1;Keine Angabe
